Source,Target
JokoBangun7,Syaifud30457221
Kahingking,GunRomli
M4M4D_C41303L,mediaindonesia
AlnilamOmar,mdnsrcx
iwalanwar,tempodotco
ocehangaluh,ekakangpanci
KSewu52978,Yasa444
sibapaknewbie,erickthohir
Kahingking,yusuf_dumdum
Bungong456,lintang1
AmtuIben62881,GunRomli
OyongRizaldi,zarryhendrik
Ach_rizal1,lampu_merahkita
Saimsib,Kimberley_PS08
Channel027,Hilmi28
z_bantuly,BosPurwa
Aruna485,Aruna485
bangpoerslalu,susno2g
PresidenKopi,KejaksaanRI
BinWaqqash70821,akuntwiter968
Mr_Wardoyo1951,GunRomli
alf_iyan,tempodotco
UwohMe,democrazymedia
EliasDipo,tanjaya1958
ulila87,Kimberley_PS08
shrzsiregar,CakKhum
WindMorrow28123,gatse8
crombolony,kompascom
lintang1,Bungong456
CGewot,msobri99
KWIHSOE,detikcom
shrzsiregar,geloraco
duc_of_nowhere,bitter_daddy
Netautoinfo,MashudiRbg
mabuchiwon,tanyarlfes
36Dpib12339,kompascom
byemaxx_,tanyarlfes
paxpux,MARQUEZ__93
13theEnki,Chynthia_K
Kaptenusop10,KangManto123
36Dpib12339,36Dpib12339
mdnsrcx,AlnilamOmar
mittsunokumo__,bgasprmdya
alpratama690,Andriii2205
Pitoyop2b,detikjatim_
Partikellirs,tempodotco
Sigromilir01,sammi_ananta
DiLaguin,DiLaguin
GalihHilag45,CImtgr
dasco29287,muchlis_ar
samin_tul,AirinDatangLagi
shrzsiregar,Info24Jam
gretta_huberman,BayuAngora
cuukdaniels,As_Ali4sghar
Rismacima_,tanyarlfes
yslzaurent,lagivirals
Trash4OE,RezaUnscripted
EghintF,prabowo
AskPerplexity,msahonges
RasheedAli54860,Mdy_Asmara1701
this_helena2,tanyarlfes
LuckyLudjaina,Kimberley_PS08
ril_gus,_Ain4SSw33ty_
mew_agent,KompasTV
IkutBener,Heraloebss
ahduoxian,makimakitaa
LifeLaelani,tanyarlfes
Cyberwatch0611,xquitavee
Bamsgungunawan,Beritasatu
LokalPendaki,DoankWarto
miiigorengkuah,tanyarlfes
CyberCaelum,PresidenKopi
Salamun09,Mdy_Asmara1701
lingkamhswr,Ramardan
edipoint,Opposisi6890
DomLuiz1976,kompascom
AdiAdianggara90,sangmemequeen
sandybuanaputr4,indrapradana66
amrubaid,jackcfrost
DomLuiz1976,yusuf_dumdum
kimi198021,CNNIndonesia
yoga_taufiq,Muffins_hurdy
TimelessBeing8,arwidodo
anaknyasiape,zarryhendrik
ApriadiZoo15204,Kimberley_PS08
SigerAfit,geloraco
kikikipung,detikcom
sandewimu,sandewimu
svalancourt,xujiawqi
Mfadlanhexaigo,Gojekmilitan
littledeatch,oreocreeeaamm
tegarhafidz,puthutpurwanto
Alford9002,neVerAl0nely
dasco29287,KompasTV
fadlan_yudatama,brfelindra
77LINTAS,tanyarlfes
gembeldigital,budimandjatmiko
Sigromilir01,sammi_ananta
GafarJunaidi,mas_veel
rayati_312,brfelindra
ani_yuni22,brfelindra
HambaAllah0027,BigAlphaID
Muffins_hurdy,yoga_taufiq
bmurtiyoso,antaranews
OppoPro98118,uyoktweet
yuriferdinand17,DokterTifa
putraapurnomo,antaranews
setsunavie,tokimekiaramaki
croisaht,tanyarlfes
mirwantwothree,drhthariq
dimarcotop,dimarcotop
kurocat48,Mdy_Asmara1701
Sudarmanmitro,Sudarmanmitro
feri_bramantya,AanSaputraa_
iamkevinregardy,kompascom
KillerFluffy69,Kanseulir
cufrdy,nisanindita_
JMarjuki99455,zarryhendrik
CakTugiman,detikcom
Uretop1,LurahGaza
KheyL4_8,suk4bebek_v2
